,Ticker,volume
3213,NVO,1881824729.0
257,ELAB,1879522981.0
1423,DOCU,1869182587.0
9464,GSK,1864245376.0
7969,MUB,1862647886.0
9263,XEL,1862485975.0
10325,NRG,1850246656.0
1231,TECK,1847975371.0
2627,WY,1846733774.0
207,UPS,1842429579.0
6963,SNDL,1836996216.0
5678,NVDX,1835430211.0
11125,VKTX,1834147960.0
9605,ICLN,1833492400.0
3193,VIXY,1828617324.0
1840,AGL,1826446159.0
6415,KKR,1810296626.0
3406,ZM,1801697340.0
1132,STM,1801095916.0
8925,BBWI,1798567277.0
5765,EVGO,1796602742.0
7067,INFN,1796438124.0
551,CNC,1791449055.0
5859,ETSY,1781595202.0
3057,SENS,1781054143.0
1995,COMM,1776512051.0
9838,SCHO,1776219080.0
5816,JNPR,1774152150.0
9966,BEN,1771720400.0
8530,ENSC,1771557166.667
4578,HD,1768173918.0
51,IGSB,1760847891.0
3249,MBLY,1760505091.0
2857,DIA,1758610836.0
5037,VLO,1749347785.0
5780,FL,1748756169.0
4646,SPTI,1747943867.0
857,SMMT,1747887041.0
10317,DXCM,1745752388.0
1861,UNH,1745665043.0
3305,INDA,1745025132.0
2297,ALT,1743670920.0
2692,APP,1740898562.0
8409,TWLO,1740449445.0
1982,ACWI,1735334052.0
4750,CZR,1734155769.0
10312,LAC,1733895532.0
4986,ADM,1732716030.0
3133,QBTS,1729657321.0
8411,DBX,1728847316.0
8886,GLYC,1727871906.0
6547,RCM,1726996910.0
6256,BRK.B,1724861514.0
9367,JETS,1719845519.0
998,Z,1712694764.0
7461,SCHP,1712095093.0
4716,PAA,1710428593.0
2929,BHC,1705291793.0
2904,FSLY,1701637127.0
5953,TPR,1699266617.0
10955,CTVA,1697446881.0
4500,MLCO,1696070421.0
5366,BZ,1679252711.0
3820,EWY,1673851139.0
7076,MVST,1665450726.0
10790,MUFG,1660275447.0
10199,FIGS,1656067460.0
2504,PLD,1649042482.0
4257,SOXX,1648142936.0
5482,MCRB,1648003303.0
5681,FE,1647984426.0
4150,SAN,1639026570.0
6078,ADI,1636099706.0
4370,SVXY,1633158604.0
9506,ACI,1627748156.0
6761,BTU,1627559209.0
8604,DOC,1627492088.0
6663,EOG,1626575502.0
1996,FAST,1626401187.0
9478,FOXA,1626201350.0
2486,OVV,1616175112.0
8824,FAZ,1614682863.0
1628,SGOV,1613294464.0
4829,IOT,1607969519.0
7134,ARCC,1606792042.0
8830,CHGG,1602246560.0
2586,BIDU,1600357087.0
9544,MPC,1596347230.0
10886,CRH,1594949762.0
1267,SMR,1593938488.0
5758,UA,1593908487.0
893,TWM,1588962268.0
6234,SCHH,1581283873.0
6767,VTI,1575157699.0
5232,OTLY,1569243272.0
9040,EWT,1568763164.0
7998,MAT,1566175967.0
5553,ADBE,1562292686.0
9965,HR,1556609076.0
1497,MNTS,1556093783.7
9788,INVH,1556055673.0
2767,ETHE,1555804881.0
617,RRC,1551012609.0
4655,FBTC,1544263708.0
408,AEP,1544115277.0
808,EQNR,1541862858.0
6287,HPP,1540494833.0
4181,SPDW,1539513177.0
6356,OKE,1533137079.0
76,SHV,1530235058.0
5025,DUK,1524172094.0
10862,GPK,1518259157.0
7628,MCD,1513294946.0
830,REAL,1511542569.0
313,SPR,1508522057.0
5995,ZTO,1506856322.0
1638,RCL,1505651663.0
7894,LLY,1504291486.0
9821,PSX,1499293936.0
1058,AXP,1496008178.0
9822,XME,1494377598.0
2077,BNDX,1493871371.0
5275,CDT,1493491575.0
4659,WEN,1493454059.0
10256,ING,1491122982.0
5841,PK,1491027416.0
10434,GNW,1486434153.0
5970,EDR,1480444148.0
4657,DG,1479442104.0
8902,TSLQ,1479095300.0
1763,VGSH,1478995573.0
6713,RIO,1475409976.0
9803,BCRX,1475290969.0
4327,VNO,1474481159.0
7981,CRBG,1471299724.0
792,UDOW,1469005626.0
9573,ZION,1467666920.0
5010,EMR,1463193561.0
2663,MNKD,1462094613.0
4834,DB,1461357678.0
1869,DNB,1461140593.0
7460,SVMH,1452010933.0
10775,VXX,1450208930.0
6087,NAT,1449573765.0
10763,CNK,1446519056.0
9396,MFC,1442284543.0
2501,XHB,1440721064.0
3292,HE,1437480824.0
9516,VXUS,1437350473.0
1728,ADMA,1433349911.0
8363,CAT,1427247138.0
8808,NKTR,1426993996.0
10476,DT,1421615630.0
2398,CHRS,1421168164.0
327,UBS,1419090119.0
3581,ARMK,1416969022.0
2047,BLDP,1412830350.0
5945,MTTR,1411852238.0
4278,MP,1411045056.0
61,HON,1409566688.0
6678,PAYO,1408240953.0
4950,TSN,1400980753.0
6844,CCCC,1399443955.0
5422,CNX,1394919380.0
2228,BYND,1393015092.0
1670,EQH,1387799740.0
10375,JMIA,1385650689.0
2859,HWM,1381988278.0
6608,DHR,1380772703.0
8726,DD,1379073194.0
6023,SYY,1376752728.0
8580,IUSB,1376515540.0
3846,HYLB,1374345751.0
1088,USMV,1372126701.0
9407,GOEV,1371914475.2613003
9679,CXAI,1371876489.0
5582,CG,1371864028.0
8669,CDIO,1370660330.0
5429,LUXH,1369658468.0
5991,WAL,1368803624.0
3092,NDAQ,1367519410.0
8511,FRO,1364985407.0
654,GEHC,1364726935.0
4060,EWH,1364322491.0
629,SPSB,1363114627.0
10822,SGOL,1360334321.0
1823,TIP,1359278145.0
4232,BBY,1357749180.0
10308,STWD,1356125096.0
1525,TIGR,1355030551.0
7414,AGI,1354001557.0
5199,LBRT,1353840538.0
3580,VGK,1350828109.0
9590,SRE,1350420179.0
6514,SPAB,1348626885.0
285,COF,1345071062.0
4656,EL,1344919713.0
7215,CCI,1344418544.0
1976,SERV,1344310846.0
3631,DHI,1343594724.0
9315,LOW,1342978964.0
10011,AEM,1338909623.0
5454,PEG,1333034949.0
6926,K,1332705879.0
6791,PCAR,1331723777.0
10152,VGIT,1330972227.0
9177,UNIT,1325993180.0
3531,DLTR,1323256136.0
6387,TECL,1320301271.0
1580,SID,1319410588.0
3340,BMBL,1318118429.0
1209,NWSA,1317863549.0
6991,DUO,1317601988.1335
3115,UCO,1316160912.0
1738,EZU,1314326039.0
8333,BHP,1311434343.0
6468,SCHR,1311233902.0
155,HBM,1309258155.0
4687,SRLN,1307403786.0
7910,CTLT,1306518446.0
2750,MVIS,1306143107.0
10117,SPYV,1303220227.0
6511,OSCR,1302893918.0
6467,RKT,1302214087.0
6001,WELL,1293216506.0
8569,UNP,1291861488.0
9709,CPB,1287309997.0
3762,TRP,1285452019.0
864,OGN,1284162259.0
8065,SCHB,1282374065.0
8394,KBE,1281155989.0
3143,EQX,1278636236.0
744,VEU,1277520873.0
3272,APO,1271166939.0
4413,TD,1265969276.0
368,FOLD,1265113529.0
1528,ASAN,1263440152.0
7638,AM,1262459533.0
2912,YUMC,1257767177.0
8105,EFV,1257297528.0
5576,IRWD,1256609041.0
2827,MA,1256255065.0
575,XRAY,1256131713.0
4987,BITX,1252065271.0
10148,BN,1249661307.0
